ciudades,nombre_de_la_ciudad,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,12,0.0785,0:00:23,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Total,,6466,570.5199,0:05:17,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,254,16.1555,0:03:48,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x3109513dc76a6be3:0x9c010ee85ab525bb,Nom Pen,104,1.4289,0:00:49,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,78,7.4957,0:05:45,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,55,4.6281,0:05:02,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x85cfc0bd5ebc7a3b:0x48a6461de494ad95,Heroica Puebla de Zaragoza,12,0.4969,0:02:29,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x915edf0a04f5a40f:0x57dbfc76b4458ab3,La Paz,12,0.7217,0:03:36,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x91d59a4002427c9f:0x44b991e158ef5572,Quito,11,0.6765,0:03:41,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x959f80ffc63bf7d3:0x6b321b2e355bec99,Montevideo,11,0.011,0:00:03,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
